RMSDD,SDNN,condition,actualCondition
30.643143891802225,25.282844425068596,0,0
31.97221015541813,24.911627043225593,0,0
40.27681991198191,33.39936119302595,0,0
32.77948976867928,26.44496316536588,0,0
27.236150785390357,19.829520330638612,1,1
31.749178507755328,23.41828298491229,0,1
34.97431363699772,38.02541219749124,0,0
28.91158296651412,29.2420487161024,1,0
29.383234770812887,23.600127624127687,1,0
40.917507551687756,29.742009105373878,0,0
26.94988490321056,23.168496734678058,1,1
29.300972825949113,21.072279881200277,1,1
27.54306972098739,22.07644740053511,1,0
33.262888525899555,24.410826876799437,0,0
33.686534530812935,30.16494734101342,0,0
26.030213530835766,21.752088444533467,1,0
34.06567312515761,30.27085252317364,0,0
24.92874836662895,19.247983595854283,1,0
33.3154714047488,26.434171674156264,0,0
41.08407519426355,30.059801769467143,0,0
30.57971627760872,24.542738661321273,0,0
32.08533308279371,26.115474476687144,0,0
29.950576572697845,21.195283649229705,0,0
31.272728360260636,24.246666295519496,0,0
29.584423185826946,22.56601350940053,1,0
35.531676008879735,25.532588393950352,0,0
29.956395325790332,23.0716128549326,0,1
29.715082216125722,24.877210955736796,1,1
38.08859068987379,27.71900360869925,0,0
36.70322106820612,26.012580052498723,0,0
46.46654479242282,32.635933672359776,0,0
26.962643175032508,24.210618526012002,1,0
33.322915038553674,27.57409252382382,0,1
32.95183993025689,25.376425338549225,0,1
26.30383796885717,17.6167346082617,1,0
27.81743201320934,23.96710212791889,1,0
39.330331806380684,26.22219109428356,0,0
35.6636428991291,24.30718005585127,0,0
31.760891183249385,26.584540491730873,0,0
31.526804372460486,26.072533609964964,0,0
40.085378965872415,29.722077996650192,0,0
30.99411106379598,21.350976500639597,0,0
31.01970699768491,24.259170263824686,0,0
33.75026606961959,27.412937380048657,0,0
35.10189250087319,23.444331423926684,0,0
43.92609606724472,29.101779674908435,0,0
31.21675186030441,28.99756616575631,0,0
44.72596027626176,33.72810451261092,0,0
30.944720996896347,25.245621544162777,0,0
35.925269657999785,28.014601116684968,0,0
32.21563630012951,27.47437611157223,0,0
31.529631254723284,22.94704541818045,0,0
34.57221565416506,27.04253535556279,0,0
31.610658273359256,25.068055517080047,0,0
41.39589438198657,30.197375886269768,0,0
24.004886333853666,18.890154022666973,1,0
36.299098075197364,27.637199836720338,0,0
19.338258814284547,18.11859839175635,1,0
30.69680613370121,27.43679605525721,0,0
39.332391702476436,30.82816514138503,0,0
31.694067092894358,24.229794689995092,0,0
32.004773949452535,25.609596711589028,0,0
27.236241765285385,19.86733706087882,1,1
26.73124364808304,22.46231411844193,1,1
36.4700611389277,25.438378704451885,0,0
39.67926970654128,25.612171924231237,0,0
34.73177646329505,24.012464485927737,0,0
33.61547262794322,25.46866748518503,0,0
36.61775819262784,26.568014133540352,0,0
35.809100333108994,30.524777887732423,0,0
40.82936488652545,29.834786141346747,0,0
38.84237581212249,31.724137931034484,0,0
30.046260628866577,22.989042251281344,0,0
30.825177548251464,30.493877142958986,0,0
25.05906999964907,26.01999097915976,1,0
32.75848408534639,26.127359010984808,0,0
142.31000229125414,88.03730398770759,1,0
100.60005154258307,90.01789580277926,1,0
38.40572873934304,24.695331036453027,0,0
